RAUMCODE;RAUMBEZEICHNUNG
BC04I19;Labor, Aufsicht
BC04I29;Labor
BC04I39;Labor, Aufsicht
BC05E01;Vorraum
BC05E41;Schleuse
BC05E50;Stiege / Gang
BC05F01;Stiege
BC05F05;Aufzug
BC05F43;Schleuse
BC05F49;Aufzug
BC05F51;Aufzug
BC05G05;Chem. Aufzug
BC05H01;Technikzentrale
BC05I01;Technikterrasse
BCEGA02;Aufenthaltsraum
BCEGA06;Büro
BCEGA08;Büro
BCEGA10;Büro
BCEGA12;Büro
BCEGA14;Büro
BCEGA18;Büro
BCEGA20;Büro
BCEGA22;Sozialraum
BCEGA26;Büro
BCEGA28;Sekretariat
BCEGA30;Büro
BCEGA34;Büro
BCEGA36;Seminarraum Lehar EG
BCEGA40;Büro
BCEGD06;Halle
BCEGE50;Stiege / Gang
BCEGF01;Stiege / Gang
BCEGF07;Stromverteiler
BCEGF11;Schleifraum
BCEGF13;Haustechnik
BCEGF15;Lager
BCEGF17;Haustechnik
BCEGF23;Stiege
BCEGF31;WC Damen
BCEGF35;Garderobe, Dusche D
BCEGF41;Messraum Dunkel
BCEGG11;Stromverteiler
BCEGG17;Stromverteiler
BCEGG21;Haustechnik
BCEGG25;Haustechnik
BCEGG31;Stromverteiler
BCEGG33;WC Herren
BCEGG35;Garderobe, Dusche H
BCEGG37;Stromverteiler
BCEGG41;Stromverteiler
BCEGH01;Glaswerkstatt
BCEGH03;Glaswerkstatt
BCEGH11;Elektronik Werkstatt
BCEGH13;Elektronik Werkstatt
BCEGH15;Labor
BCEGH19;Vorraum
BCEGH21;Labor
BCEGH25;Schleifraum
BCEGH29;Labor
BCEGH31;Labor
BCEGH35;Labor
BCEGH39;Labor
BCEGH43;Labor
BCEGI09;Vorraum
BCEGI29;Vorraum
BCEGI39;Vorraum
BCEGJ05;Chem. Aufzug
BCU1A02;Lithographie- Lager
BCU1A02A;Haustechnik
BCU1A06;Dünnschicht Lager
BCU1A12;Labor REM
BCU1A14;Labor NMR
BCU1A22;Röntgen
BCU1A34;Vorber. Röntgen
BCU1A36;Labor Tunnelmicro
BCU1A40;Studentenzone
BCU1B02;Abstellraum
BCU1C54;Windfang
BCU1D02;Vorraum
BCU1E06;Gang
BCU1E50;Stiege
BCU1F01;Stiege
BCU1F06;Lager
BCU1F07;Stromverteiler
BCU1F11;Lager
BCU1F13;Haustechnik
BCU1F15;IT-Verteiler
BCU1F17;Haustechnik
BCU1F23;Stiege
BCU1F31;Lager
BCU1F33;Stromverteiler
BCU1F37;Stud. Zentralgard.
BCU1F41;WC Damen
BCU1F43;Vorraum
BCU1F45;WC Herren
BCU1F47;Haustechnik
BCU1G11;Stromverteiler
BCU1G17;Stromverteiler
BCU1G31;Stromverteiler
BCU1G43;WC Behinderte
BCU1H01;Glasofen
BCU1H05;Gard. Reinigungspers. Herren
BCU1H11;Chem. Lager
BCU1H13;Chem. Lager
BCU1H15;Chem. Lager
BCU1H17;Galvanik
BCU1H21;Labor
BCU1H25;Lüftungszentrale
BCU1I05;Gard. Reinigungspers. Damen
BCU1J01;TU.it Lager
BCU1J03;Gang
BCU1J05;Chem. Aufzug / Schleuse
BCU1J07;Ht-Zentrale
BCU1J09;Gang
BCU1J11;Chem. Lager
BCU1J13;Chem. Lager
BCU1J15;Chem. Lager
BCU1J17;Werkstatt
BCU1J19;Autoklavenraum
BCU1J19A;Autoklavenraum
BCU1J19B;Autoklavenraum
BCU1J21;Autoklavenraum
BCU1J41;Reinigungsmaterial
BCU1K03;Schleuse
BCU1M01;WIPARK - Garage Teil 3
BCU2A02;Heizung / Lüftung
BCU2A14;IT-Standortverteiler
BCU2A18;Serverraum
BCU2A20;Gas / Wasser
BCU2A22;Lager
BCU2A24;Lager
BCU2A26;Lager
BCU2A28;Lager
BCU2A32;Lager
BCU2A38;Neutralisation
BCU2A42;Lager
BCU2A46;Kälteverteilung
BCU2A54;Ht-Kälte
BCU2A60;USV / Notstrom
BCU2D34;Ht-Lager
BCU2E06;Gang
BCU2E50;Stiege / Gang
BCU2E51;Gang
BCU2F01;Stiege
BCU2F05;Aufzug
BCU2F07;Lager
BCU2F09;Schleuse
BCU2F14;Lager
BCU2F34;Lager
BCU2F42;Lager
BCU2F43;Hebeanlage
BCU2F45;Gang
BCU2F47;Ht-Raum
BCU2F49;Aufzug
BCU2F51;Aufzug
BCU2F58;Schleuse
BCU2G05;Chem. Aufzug
BCU2G25;Lüftungsgerät
BCU2G49;Druckluftzentrale
BCU2G56;Nshv / Tankraum
BCU2G59;Trafo
BCU2H01;WIPARK - Garage Teil 4
BCU2H45;Gang
BCU2H47;Schleuse
BCU2H58;Batterien / Notbeleuchtung
BCU2I47;Tankraum
BCU2J04;Vorraum
BCU2J05;Aufzugsgrube
BCU2K04;Lager
BCU2K23;Ht-Lüftung
BCU2M01;WIPARK - Garage Teil 3
BD01A29;TU.it Internet-Raum
BD01B33;GM 2 Radinger Hörsaal
BD01B41;GM 7 Kl. Schiffbau
BD01C29;Stiege und Gang
BD01C31;2 Aufzüge
BD01D27;Büro
BD01D30;Lüftungsschacht
BD01D31;Lager / Wäschetausch
BD01D40;Stiege und Gang
BD01E32;Vorhalle
BD01E42;Lager
BD01F24;Pausenraum
BD01H28;Büro
BD02B29;2 WC Herren
BD02B31;2 WC Damen
BD02B33;HS GM 8/9 - I.W. Motorensymposium
BD02C29;Stiege und Gang
BD02C31;2 Aufzüge
BD02C32;Gang
BD02C40;Stiege und Gang
BD02D21;Büro
BD02D25;Büro
BD02D27;Büro
BD02D30;Lüftungsschacht
BD02D32;GM 4 Knoller Hörsaal
BD02D42;Lager
BD02E30;EDV-Verteiler
BD02F20;Bibliothek
BD02F22;Gang
BD02F40;Gang
BD02G22;Büro Prof.
BD02G24;Büro
BD02G26;Büro
BD02G28;Seminarraum BD 02C
BD03B29;2 WC Damen
BD03B31;2 WC Herren
BD03B33;Büro Ass.
BD03B35;Büro Ass.
BD03B37;Büro Prof.
BD03B39;Büro Ass.
BD03B41;Büro Ass.
BD03B43;Büro Ass.
BD03C29;Stiege und Gang
BD03C31;2 Aufzüge
BD03C32;Gang
BD03C42;Institutsserver
BD03D30;Haustechnik
BD03D36;Lager
BD03D38;Sozialraum/Teeküche
BD03D40;Besprechung / Bibliothek
BD03E30;EDV-Verteiler
BD03E32;Sekretariat
BD03E34;Büro Prof.
BD03G28;Seminarraum BD 03
BD03H26;Dachboden
BD04B29;3 WC Damen
BD04B31;2 WC Herren
BD04B33;Besprechung / Bibliothek
BD04B37;Büro Ass.
BD04B39;Büro Ass.
BD04B41;Sozialraum
BD04B43;Büro Ass.
BD04C29;Stiege und Gang
BD04C31;2 Aufzüge
BD04C32;Gang
BD04C41;Vorraum
BD04C43;Teeküche
BD04D30;Haustechnik
BD04D32;Büro Ass.
BD04D34;Büro Prof.
BD04D40;Vorraum
BD04D42;Lager
BD04E30;EDV-Verteiler
BD04E36;Büro Ass.
BD04E38;Sekretariat
BD04E40;Büro Prof.
BD05B29;3 WC Damen
BD05B31;2 WC Herren
BD05B33;Besprechung / Bibliothek
BD05B37;Büro Ass.
BD05B39;Büro
BD05B41;Büro Prof.
BD05B43;Büro Ass.
BD05C29;Stiege und Gang
BD05C31;2 Aufzüge
BD05C32;Gang
BD05C36;Gang
BD05C41;Vorraum
BD05C42;Teeküche
BD05D30;Haustechnik
BD05D32;Virtuelle Produktentwicklung
BD05D40;Vorraum
BD05D42;Lager
BD05E30;Abstellraum
BD05E36;Büro Prof.
BD05E38;Sekretariat
BD05E40;Büro Prof
BD06B29;2 WC Damen
BD06B31;2 WC Herren
BD06B33;Zeichensaal CAD 3
BD06C29;Stiege und Gang
BD06C31;2 Aufzüge
BD06C32;Gang
BD06C34;Gang
BD06C42;Lager
BD06D30;Haustechnik
BD06D32;Rehab
BD06D38;Büro Prof.
BD06D40;Büro Ass.
BD06E30;EDV-Verteiler
BD07A33;Terrasse
BD07B29;3 WC Damen
BD07B31;2 WC Herren
BD07B33;Zeichensaal CAD 2
BD07C29;Stiege und Gang
BD07C31;2 Aufzüge
BD07D30;Haustechnik
BD07D32;Zeichensaal CAD 1
BD07E32;Terrasse
BDEGA35;Windfang
BDEGB29;3 WC Damen
BDEGB31;2 WC Herren
BDEGB33;Aula
BDEGB41;Hochschülerschaft
BDEGC09;Prüfstand
BDEGC11;Werkstatt
BDEGC15;Werkstatt
BDEGC17;Motorprüfstand
BDEGC19;Einfahrt / Vorraum
BDEGC21;Werkmeister
BDEGC23;Einfahrt
BDEGC25;Prüfstand
BDEGC27;Prüfststand
BDEGC29;Stiege und Gang
BDEGC31;2 Aufzüge
BDEGC41;Gang
BDEGD09;Labor
BDEGD21;Stiegenhaus
BDEGD23;Prüfraum
BDEGD25;Prüfraum
BDEGD30;Haustechnik
BDEGD33;Studentenaufenthaltszone
BDEGD38;Gang
BDEGD40;Abstellraum
BDEGD43;Lager
BDEGE25;Kl.Pruefst
BDEGE32;Labor
BDEGE35;Labor
BDEGE39;Stiegenhaus + Gang
BDEGE40;Server
BDEGE43;Lager
BDEGF25;Beobachtungsraum
BDEGF32;Labor Maschinenelemente
BDEGH12;Schleuse / Abstellraum
BDEGH26;Gr.Pruefst
BDEGI08;Trafo
BDEGI12;Filterkammer
BDEGI14;Abstellraum
BDEGI16;Schaltwart
BDEGI20;Prüfraum
BDEGI22;Gang
BDEGI24;Kraftst.Pr.
BDEGI30;Aufenthaltsraum
BDEGK26;Prüfraum
BDEGL14;Rollprüfstand
BDEGL22;Gang + Stiege
BDEGM22;Mechan.Werkstätte
BDEGM28;Schweisser
BDEGM30;Werkstätte (Elektrisch)
BDEGM40;Galerie
BDU1A31;Schleuse
BDU1B29;Stiege
BDU1B31;Abstellraum
BDU1B33;Werkstatt
BDU1B39;Werkstatt
BDU1C06;Installationsraum
BDU1C08;Keller
BDU1C19;Stiege
BDU1C20;Prüfraum
BDU1C23;Stiege / Rampe
BDU1C24;Keller mit Fundament
BDU1C26;Keller mit Fundament
BDU1C29;Stiege und Gang
BDU1C31;2 Aufzüge
BDU1C33;Gang
BDU1C35;Gang
BDU1C41;Lager
BDU1D30;Haustechnik
BDU1D33;Haustechnik
BDU1D35;NSHV
BDU1D37;Gang
BDU1D39;BM-Zentrale
BDU1D42;Prüfraum
BDU1E24;Keller Zuluftventilator
BDU1E35;SIBEI
BDU1F20;Keller mit Fundament
BDU1F24;Keller
BDU1F33;Server
BDU1F35;USV
BDU1G24;Keller mit Fundament
BDU1G29;Vorraum
BDU1H02;1 WC
BDU1H04;Lagerraum
BDU1H31;Gang
BDU1H33;Garderobe
BDU1H35;Prüfraum
BDU1I02;Stiege
BDU1I04;Waschraum / Garderobe
BDU1I06;Lager
BDU1I08;Gang
BDU1I31;2 WC Herren
BDU1I33;1 WC Damen
BDU1K20;Keller
BDU1K24;Lagerraum
BDU1K26;Keller
BDU1K31;Stiege
BDU1K33;Garderobe, Duschen, Abstellr.
BDU1L16;Gang
BDU1L31;Depot
BDU1L38;Gang / Rampe
BDU1M14;Tanklager
BDU1M16;Rollenprüfstand Keller
BDU1M18;Fundamentr
BDU1M20;E-Lager
BDU1M22;Lager
BDU1M24;Kompressor
BDU1M26;Blechwerkst.
BDU1M30;Lager Haustechnik
BDU1M32;Gleichrichter
BDU1M34;Lackiererei
BDU1M36;Messraum
BDU1N12;Tanklager
BDU1N26;Lager
BDU1N28;Dunkelkammer
BDU1N30;Lager
BDU2B09;Gang Ehem.Kohlebunker
BDU2B29;Stiege
BDU2C23;Stiege / Rampe
BDU2C33;Klimakeller / Frischluft
BDU2C39;Kollektor
BDU2D33;Kanal
BDU2E31;Stiegenhaus
BDU2F25;Filterkammer
BDU2F27;Filterkammer
BE0101;Sozialraum
BE0102;Stiege
BE0105;Büro
BE0105A;Gang
BE0108;Seminarraum BE 01
BE0109;Büro
BE0112;Büro
BE0113;Büro
BE0114;Büro
BE0115;Büro
BE0115A;Abstellraum
BE0116;WC Damen / Behinderte
BE0116A;WC Herren
BE0116B;Vorraum
BE0201;FE Labor, EDV Raum
BE0202;Stiege
BE0205;Büro
BE0205A;Gang
BE0207;Büro
BE0208;Sekretariat
BE0209;Büro
BE0210;Büro
BE0211;Büro
BE0212;Büro
BE0213;Büro
BE0214;Büro
BE0215;Büro
BE0215A;Abstellraum
BE0216;WC Damen / Behinderte
BE0216A;WC Herren
BE0216B;Vorraum
BE0301;Büro
BE0302;Stiege
BE0303A;Vorraum
BE0305;Büro
BE0305A;Gang
BE0308;Sekretariat
BE0309;Büro
BE0310;Büro
BE0311;Büro
BE0312;Büro
BE0313;Büro
BE0314;Lager
BE0315;Büro
BE0316;WC Herren
BE0316A;WC Damen
BE0401;Kopierraum / Archiv
BE0402;Stiege
BE0403;Sekretariat / Vorraum
BE0407;Büro
BE0407A;Gang
BE0408;Sozialraum
BE0410;Besprechungszimmer
BE0411;Büro
BE0413;Besprechung / Bibliothek
BE0414;Büro
BE0415A;Abstellraum
BE0416;WC Damen
BE0416A;WC, Herren
BE0416B;Vorraum
BE0501;Büro
BE0501A;Abstellraum
BE0502;Stiege
BE0503A;Gang
BE0505;Büro
BE0507;Büro
BE0508;Besprechung / Teeküche
BE0510;Büro
BE0511;Büro
BE0513;Büro
BE0514;Büro
BE0515A;Abstellraum
BE0516;WC Damen / Behinderte
BE0516A;WC Herren
BE0516B;Vorraum
BE0601;Büro
BE0602;Stiegenhaus
BE0605;Büro
BE0605A;Gang
BE0606;Wendeltreppe
BE0608;Sozialraum
BE0609;Büro
BE0610;Büro
BE0613;Büro
BE0614;Büro
BE0616;WC Damen
BE0616A;WC Herren
BE0616B;Vorraum
BEDG04;Triebwerksraum Lift
BEDG06;Wendeltreppe
BEDG06A;Schleuse
BEDG16;Wasserbehälter
BEEG01;Werkstatt
BEEG02;Stiegenhaus
BEEG02A;Abstellraum
BEEG04A;Vorraum
BEEG05;Gang
BEEG07;Prüfraum
BEEG10;Prüfraum
BEEG11;Prüfraum
BEEG14A;Wendeltreppe
BEEG16;Abstellraum
BEU101;Haustechnik
BEU102;Niederspannungsraum
BEU103;EDV-Verteiler
BEU103A;Gang
BEU104;Aufzugsschacht
BEU104A;Stiege
BEU105;Gasmesser
BEU105A;Wasserzähler
BEU107;Gang
BEU108;Gang
BEU109;Hochspannungsanl.
BEU110;Lager
BEU114;Aufzugsschacht
BEU114A;Wendeltreppe
BEU115;Hochspann.
BEU116;Magazin
BGU1C42;Rampe Einfahrt
BGU1C62;Rampe Ausfahrt
BGU1F48;Haustechnik
BGU1H57;Haustechnikraum
BGU1J44;Lager
BGU1J46;Aufsichtsraum
BGU1L05;WIPARK - Garage Teil 2
BGU1L33;WIPARK - Garage Teil 1
BGU1M59;Stiege
BGU1N06;Schleuse
BGU1N59;Schleuse
BGU1O17;Stiege
BGU2I52;Rampe ins U1
BGU2I57;Haustechnikraum
BGU2K05;WIPARK - Garage Teil 2
BGU2K33;WIPARK - Garage Teil 1
BGU2K56;Lager
BGU2M59;Stiege
BGU2N05;Lüftungszentrale
BGU2N17;Schleuse
BGU2N59;Schleuse
BGU2O17;Stiege
BH01A01;Labor
BH01A05;Haustechnik
BH01A13;Haustechnik
BH01A15;Labor
BH01B05;WC Herren
BH01B07;Stiege / Gang
BH01B13;WC Damen
BH01C05;Gang
BH01C07;Stromverteiler
BH01C11;Stromverteiler
BH01C13;Gang
BH01C15;Gang
BH01C17;Labor
BH01E02;Büro
BH01E06;Gang / Teeküche
BH01E16;Labor
BH01F06;Büro
BH01F08;Büro
BH01F10;Büro
BH01F12;Büro
BH02A01;Labor
BH02A05;Haustechnik
BH02A13;Haustechnik
BH02A15;Labor
BH02B05;WC
BH02B07;Stiege / Gang
BH02C05;Gang
BH02C07;Stromverteiler
BH02C11;Stromverteiler
BH02C13;Gang
BH02C16;Labor
BH02E06;Büro
BH02E10;Sozialraum
BH02E12;Büro
BH03A01;Labor
BH03A05;Haustechnik
BH03A13;Haustechnik
BH03A15;Labor
BH03B05;Lager
BH03B07;Stiege / Gang
BH03B13;WC
BH03C05;Gang
BH03C07;Stromverteiler
BH03C11;Stromverteiler
BH03C13;Gang
BH03C15;Gang
BH03C17;Labor
BH03E02;Büro
BH03E06;Teeküche, Vorraum
BH03E10;Büro
BH03E12;Büro
BH03E16;Büro
BH03F06;Sem. BH 03 Biotechnologie
BH04A01;Labor
BH04A05;Haustechnik
BH04A13;Haustechnik
BH04A15;Labor
BH04B05;WC
BH04B07;Stiege / Gang
BH04B13;Lager
BH04C05;Gang
BH04C07;Stromverteiler
BH04C11;Stromverteiler
BH04C13;Gang
BH04E02;Büro
BH04E06;Gang / Teeküche
BH04E10;Vorraum
BH04E12;Büro / Archiv
BH04F06;Büro
BH04F10;Büro
BH05A01;Labor
BH05A05;Haustechnik
BH05A13;Haustechnik
BH05A15;Labor
BH05B05;WC
BH05B07;Stiege / Gang
BH05B13;Lager
BH05C05;Gang
BH05C07;Stromverteiler
BH05C11;Stromverteiler
BH05C13;Gang
BH05C15;Gang
BH05C17;Labor
BH05D16;Gang
BH05E02;Büro
BH05E06;Gang
BH05E08;Büro
BH05E13;Aufzug
BH05E14;Büro
BH05E16;Labor
BH05F06;Büro
BHEGA01;Hörerlabor
BHEGA05;Haustechnik
BHEGA13;Haustechnik
BHEGA15;Waschküche
BHEGB05;WC Herren
BHEGB07;Stiege / Gang
BHEGB13;WC Damen
BHEGC07;Stromverteiler
BHEGC11;Stromverteiler
BHEGC13;Gang
BHEGD16;Sem. BH Biosciences
BHEGE06;Labor
BHEGE10;Stiege / Eingangshalle
BHU1A01;Haustechnik
BHU1A05;Haustechnik
BHU1A13;Haustechnik
BHU1A15;Kühlgeräteraum
BHU1B07;Stiege / Gang
BHU1C07;Stromverteiler
BHU1C11;Stromverteiler
BHU1D17;Garderobe
BHU1E06;Haustechnik
BHU1E10;Abstellraum
BHU1E13;Aufzug
BHU1E16;Lager
BHU1F06;IT-Standortverteiler
BHU1F16;Haustechnik
BI01A23;Stiege und Gang
BI01B03;Büro / Besprechungsraum
BI01B07;Büro
BI01B09;Labor
BI01B17;Büro
BI01B19;Haustechnik
BI01C01;Gang
BI01D03;Schacht
BI01D05;Garderobe, Dusche D
BI01D09;Stinkraum
BI01D19;1 WC, Waschraum Herren
BI01D21;Aufzugsschacht
BI01E05;Teeküche
BI01E19;1 WC, Waschraum Damen
BI01F03;Steigleitung
BI01F04;Gang
BI01G04;Messraum
BI01G10;Labor
BI01G20;Labor
BI01H08;Büro
BI01H18;Büro
BI02A03;Labor
BI02A07;Büro
BI02A09;Labor
BI02A17;Büro
BI02A19;Aufenthaltsraum
BI02A23;Stiege und Gang
BI02B01;Lounge
BI02D01;Gang
BI02D03;Schacht
BI02D05;Garderobe Herren
BI02D09;Stinkraum
BI02D19;1 WC, Waschraum Herren
BI02E05;Labor
BI02E19;1 WC, Waschraum Damen
BI02F03;Steigleitung
BI02F04;Gang
BI02G01;Besprechungsraum
BI02G04;Büro
BI02G10;Labor
BI02G20;Labor
BI02H08;Büro
BI02H18;Büro
BI03A03;Sitzungszimmer BI 03 A03
BI03A09;Labor
BI03A13;Labor / Büro
BI03A17;Büro
BI03A19;Büro
BI03A23;Stiege und Gang
BI03B01;Lounge
BI03B03;Dusche
BI03C03;Abstellraum
BI03C05;Teeküche
BI03D01;Gang
BI03D03;Schacht
BI03D05;Bürotechnik
BI03D19;1 WC, Waschraum Herren
BI03E05;EDV-Verteiler
BI03E19;1 WC, Waschraum Damen
BI03F03;Steigleitung
BI03F04;Gang
BI03G01;Besprechungsraum
BI03G04;Büro / Arbeitsgruppe
BI03G10;Labor / Büro
BI03G14;Labor / Büro
BI03G20;Labor
BI03G24;Labor
BI03H08;Büro
BI03H18;Büro / Arbeitsgruppe
BI04A03;Sitzungszimmer
BI04A07;Büro
BI04A09;Büro
BI04A13;Büro
BI04A15;Archiv
BI04A17;Büro
BI04A19;Büro
BI04A23;Stiege und Gang
BI04B01;Gang
BI04C03;Kopierraum
BI04C19;Kopierraum
BI04D03;Schacht
BI04D05;Bibliothek
BI04D09;Gerätelager
BI04D15;Glaswäsche
BI04D19;1 WC, Waschraum Herren
BI04E19;1 WC, Waschraum Damen
BI04F03;Steigleitung
BI04F04;Gang
BI04G01;Besprechungsraum
BI04G04;Grundlagenlabor
BI04G12;Grundlagenlabor
BI04H10;Büro
BI05A02;Dachterrasse
BI05A23;Stiege und Gang
BI05B01;Besprechungsraum
BI05B03;Labor
BI05B07;Büro
BI05B11;Labor
BI05B15;Büro
BI05B17;Büro
BI05B19;Leiter
BI05D01;Gang
BI05D03;Schacht
BI05D07;Gang
BI05D19;1 WC, Waschraum Herren
BI05E05;Besprechung / Bibliothek
BI05E07;Lager
BI05E09;Labor
BI05E11;Labor
BI05E13;Kalorimeter
BI05E15;Teeküche
BI05E19;1 WC, Waschraum Damen
BI05E22;Technikschacht
BI05F03;Steigleitung
BI05F04;Gang
BI05G01;Besprechungsraum
BI05G02;Dachterrasse
BI05G04;Büro
BI05G10;Büro
BI05G16;Büro
BI05G20;Büro
BI05G24;Büro
BI05H08;Büro
BI05H18;Büro
BI06B03;Abluftwaschanlage
BI06B07;Abluftsammelkanal
BI06B09;Begehbares Flachdach
BI06D01;Halle
BI06D03;Schacht
BI06D21;Maschinenraum Aufzug
BI06E04;Abluft-Dachzentrale
BI06H02;Begehbares Flachdach
BI07B03;Abluftwaschanlage
BI07D01;Halle
BI07D03;Schacht
BI08B03;Abluftwaschanlage
BI08D01;Halle
BI08D03;Schacht
BI08E05;Lager
BI09B03;Abluftwaschanlage
BI09D01;Halle
BI09D03;Schacht
BI09E05;Lager
BI10B03;Abluftwaschanlage
BI10D01;Halle
BI10D03;Schacht
BI10E05;Lager
BIDGB03;Begehbares Flachdach
BIDGE03;Maschinenraum Aufzug
BIEGA23;Stiege und Gang
BIEGB03;Seminarraum BI EG / 163/1
BIEGB07;Büro
BIEGB09;Labor
BIEGB17;Büro
BIEGC01;Eingangsbereich
BIEGD03;Schacht
BIEGD05;Garderobe, Dusche H
BIEGD09;Stinkraum
BIEGD19;1 WC, Waschraum Herren
BIEGE05;Teeküche
BIEGE19;1 WC, Waschraum Damen
BIEGF03;Steigleitung
BIEGF04;Gang
BIEGF18;Gang
BIEGG04;Messraum
BIEGG08;Büro
BIEGG10;Labor
BIEGG18;Büro
BIEGG20;Büro
BIEGG22;Büro
BIEGI24;Windfang
BIU1A01;Halle
BIU1A03;Messgeräte
BIU1A07;Lager
BIU1A11;Lager
BIU1A15;Haustechnik
BIU1A19;Zuluftzentrale
BIU1A23;Stiege und Gang
BIU1A24;Schleuse
BIU1A26;Lager
BIU1B03;Labor
BIU1C21;Schleuse
BIU1D03;Schacht
BIU1D05;Werkstatt
BIU1F04;Gang
BIU1G02;Gerätelager
BIU1G04;Technikum
BIU1G08;Lc / Nmr - Labor
BIU1G12;Vorraum
BIU1G14;Reinigungspersonal
BIU1G16;Garderobe Reinigung
BIU1G18;Zentralgarderobe
BIU1H12;Autoklavenraum
BIU1I14;Waschraum
BIU1I22;2 WC Herren
BIU1I24;1 WC Behinderte
BIU1I26;3 WC Damen
BIU2A01;Gang
BIU2A03;Chemikalienlager
BIU2A15;Neutralisation
BIU2A19;Haustechnik
BIU2A21;Gang
BIU2A23;Stiege
BIU2A24;Schleuse
BIU2A25;Werkstatt
BIU2C03;Gang
BIU2C19;Niederspannungsraum
BIU2C21;Gebäudeverteiler
BIU2D03;Schacht
BIU2D05;Lager brennb. Fl.
BIU2D07;Brennb. Flüssigkeiten
BIU2D09;CKW- Lager
BIU2D11;Chemikalienlager
BIU2D13;Chemikalienlager
BIU2D21;Aufzug
BIU2E03;Aufzug
BIU2E21;Aufzug
BIU2E22;Technikschacht
BIU2F03;Aufzug
BIU2F04;Gang
BIU2G02;Serverraum
BIU2G04;Probenaufbereitung
BIU2G08;Probenaufbereitung
BIU2G12;Lösungsmittel
BIU2G16;Vorraum
BIU2G20;Chemikalienlager
BIU2G22;Vorraum
BIU2G24;Vorraum
BIU2G26;Chemikalienlager
BIU2H16;Feste Stoffe
BIU2H18;Säuren
BIU2H20;Säuren/Laugen
BIU2H24;Vorraum
BIU2I04;Probenlager
BIU2I08;Probenlager
BIU2I20;Brennb. Flüssigkeiten
BIU2I26;Säure/Lauge
BIU2J20;Metallpulver
BIU2J24;Brennb. Flüssigkeiten
BKU1A09;Schacht
BKU1A11;Fluchtgraben
BKU1A13;Schacht
BKU1B03;Hörerlabor
BKU1B07;Besprechungsraum
BKU1B08;Besprechungsraum
BKU1B25;Stinkraum
BKU1C01;Stinkraum
BKU1D07;Dusche
BKU1D08;Dusche
BKU1E01;Schleuse
BKU2A01;Notstromaggregat
BKU2A07;Zuluftschacht
BKU2A13;Montageschacht
BKU2A15;Haustechnik
BKU2A19;Lager
BKU2A23;Lager
BKU2B07;Gang
BKU2B15;Gang
BKU2C01;Gerätelager
BKU2C07;Fernwärmeumformer
BKU2C15;Lager
BKU2C19;Lager
BKU2C23;Lager
BKU2D15;Zuluftzentrale
BKU2D23;Zuluftverteiler
BKU2E23;Schleuse
BL01A01;Büro
BL01A03;1 WC
BL01A04;Garderobe / Dusche
BL01B03;Gang
BL01D01;Büro
BL01D04;Archiv
BL01F05;Galerie
BL01G01;Büro
BL01G05;Sozialraum
BL01K01;Stiege
BL02A03;Büro
BL02H03;Küche
BL02H04;WC Damen
BL02H05;Vorraum
BL02I04;WC Herren
BL02I05;Vorraum
BL02K03;Technikraum / Küche
BL02K05;Stiege
BLEGA01;Büro
BLEGA03;Vorraum
BLEGA05;Überwachungskoje
BLEGC05;Ofenraum Zwischengesch.
BLEGD01;Vorraum
BLEGD02;WC
BLEGD03;Brennstofflager
BLEGD04;Öltankraum
BLEGE02;Lager
BLEGG01;Büro
BLEGG03;Fasslager Sondermüll
BLEGG05;Gang Sondermüllager
BLEGG06;Kleinchemie Sondermüll
BLEGI03;Brennb Fl. Sondermüll
BLEGI06;Leergebin. Sondermüll
BLEGK01;Stiegenhaus
BLEGK06;Manipulationsr.Sondermüll
BLEGM04;Abstellraum
BLU1A01;Pumpenkeller
BLU1A06;Installationsraum
BLU1J01;Aufzug Maschinenraum
BLU1K01;Stiegenhaus
BLU1K04;Aufzugsschacht
BLU1O01;Einbringungsöffnung Ht
BLU1O02;Einbringungsöffnung Ht
BLU2I02;Stiege
BLU2I04;Installationsraum
BLU2M02;Installationsraum
BZ0101;Chemielabor
BZ0102;Büro
BZ0104;Vorraum
BZ0105;Chemielabor
BZ0106;Gang
BZ0109;Präparationslabor
BZ0113;Mikroskopie
BZ0113A;Vorraum Labore
BZ0116A;1 WC Damen
BZ0116B;1 WC Herren
BZ0117;Büro
BZ0117A;Vorraum
BZ0118A;Teeküche
BZ0119;Büro
BZ0120;Stiege 1
BZ0123;Büro
BZ0124;Gang
BZ0125;Büro
BZ0129;Büro
BZ0131;Büro
BZ0132;Büro
BZ0201;Labor
BZ0202;Büro
BZ0205;Labor
BZ0206;Gang
BZ0207;Labor
BZ0211;Labor
BZ0213;Labor
BZ0213A;Vorraum Labor
BZ0216A;1 WC Damen
BZ0216B;1 WC Herren
BZ0217;Büro
BZ0217A;Vorraum
BZ0219;Büro
BZ0220;Stiege 1
BZ0223;Büro
BZ0224;Gang
BZ0225;Labor
BZ0229;Büro
BZ0231;Büro
BZ0232;Büro
BZ0301;Labor
BZ0302;Büro
BZ0305;Isotopenlabor
BZ0306;Büro
BZ0306A;Gang
BZ0307;Messraum
BZ0310;Büro
BZ0311;Messraum
BZ0313;Labor
BZ0314;Gang
BZ0316A;1 WC Damen
BZ0316B;1 WC Herren
BZ0318;Waschraum
BZ0318A;Vorraum
BZ0319;Labor
BZ0320;Stiege 1
BZ0320A;Aufzug
BZ0320B;Stiege zum Dachboden
